UMA,REGION,NCOLINDANTE,
1,3,1,
2,3,1,
3,3,2,
4,3,3,
5,3,2,
6,3,0,
7,3,0,
8,3,1,
9,3,2,
10,3,1,
11,3,0,
12,3,2,
13,3,0,
14,3,0,
15,3,1,
16,3,1,
17,3,1,
18,3,1,
19,3,3,
20,3,2,
21,3,1,
22,3,1,
23,3,1,
24,3,3,
25,3,3,
26,3,2,
27,3,2,
28,3,2,
29,3,1,
30,3,1,
31,3,2,
32,3,2,
33,3,1,
34,3,2,
35,3,2,
36,3,0,
37,3,1,
38,3,2,
39,3,1,
40,3,1,
41,3,0,
42,3,1,
43,3,0,
44,3,1,
45,3,2,
46,3,1,
47,3,0,
48,3,2,
49,3,2,
50,3,1,
51,3,2,
52,3,1,
53,3,1,
54,3,2,
55,3,2,
56,3,1,
57,3,1,
58,3,1,
59,3,0,
60,3,0,
61,3,1,
62,3,2,
63,3,2,
64,3,2,
65,3,1,
66,3,2,
67,3,2,
68,3,2,
69,3,2,
70,3,2,
71,3,2,
72,3,0,
73,3,0,
74,3,1,
75,3,3,
76,3,2,
77,3,2,
78,3,1,
79,3,1,
80,3,1,
81,3,3,
82,3,3,
83,3,1,
84,3,0,
85,3,2,
86,3,2,
87,3,0,
88,3,0,
89,3,1,
90,3,0,
91,3,0,
92,3,0,
93,3,0,
94,3,0,
95,3,2,
96,3,2,
97,3,1,
98,3,0,
99,3,0,
100,3,0,
101,3,0,
102,3,0,
103,4,0,
104,4,0,
105,4,1,
106,4,1,
107,4,1,
108,4,1,
109,4,1,
110,4,1,
111,4,1,
112,4,3,
113,4,4,
114,4,1,
115,4,3,
116,4,1,
117,4,1,
118,4,2,
119,4,2,
120,4,1,
121,4,2,
122,4,1,
123,4,1,
124,4,2,
125,4,3,
126,4,2,
127,4,4,
128,4,2,
129,4,2,
130,4,1,
131,4,3,
132,4,3,
133,4,3,
134,4,1,
135,4,1,
136,4,0,
137,4,3,
138,4,3,
139,4,3,
140,4,2,
141,4,1,
142,4,3,
143,4,3,
144,4,1,
145,4,2,
146,4,1,
147,4,3,
148,4,1,
149,4,3,
150,4,1,
151,4,3,
152,4,1,
153,4,3,
154,4,0,
155,4,2,
156,4,3,
157,4,4,
158,4,2,
159,4,3,
160,4,3,
161,4,3,
162,4,2,
163,4,2,
164,4,1,
165,4,1,
166,4,4,
167,4,2,
168,4,2,
169,4,1,
170,4,1,
171,4,2,
172,4,2,
173,4,3,
174,4,3,
175,4,2,
176,4,1,
177,4,3,
178,4,2,
179,4,2,
180,4,3,
181,4,3,
182,4,0,
183,4,1,
184,4,0,
185,4,2,
186,4,3,
187,4,1,
188,4,1,
189,4,2,
190,4,2,
191,4,2,
192,4,1,
193,4,1,
194,4,0,
195,4,0,
196,4,2,
197,4,0,
198,4,1,
199,4,0,
200,4,0,
201,4,0,
202,4,1,
203,4,2,
204,4,2,
205,4,2,
206,4,2,
207,4,3,
208,4,3,
209,4,1,
210,4,3,
211,4,2,
212,4,2,
213,4,1,
214,4,2,
215,4,2,
216,4,1,
217,4,3,
218,4,2,
219,4,2,
220,4,3,
221,4,0,
222,4,2,
223,4,2,
224,4,0,
225,4,2,
226,4,2,
227,4,0,
228,4,0,
229,4,0,
230,4,2,
231,4,1,
232,4,1,
233,4,2,
234,4,0,
235,4,0,
236,4,1,
237,4,2,
238,4,2,
239,4,1,
240,4,0,
241,4,2,
242,4,2,
243,4,0,
244,4,1,
245,4,1,
246,4,1,
247,4,2,
248,4,2,
249,4,1,
250,4,2,
251,4,1,
252,4,2,
253,4,2,
254,4,2,
255,4,2,
256,4,2,
257,4,2,
258,4,2,
259,4,2,
260,4,1,
261,4,2,
262,4,2,
263,4,2,
264,4,3,
265,4,0,
266,4,1,
267,4,0,
268,4,0,
269,4,0,
270,4,0,
271,4,0,
272,4,1,
273,4,1,
274,4,1,
275,4,1,
276,4,1,
277,4,1,
278,4,1,
279,4,0,
280,4,3,
281,4,4,
282,4,2,
283,4,0,
284,4,0,
285,4,0,
286,4,0,
287,4,1,
288,4,0,
289,4,0,
290,4,0,
291,4,2,
292,4,0,
293,4,1,
294,4,1,
295,4,2,
296,4,2,
297,4,0,
298,4,0,
299,4,0,
300,4,1,
301,4,2,
302,4,1,
303,4,2,
304,4,2,
305,4,0,
306,4,2,
307,4,2,
308,4,3,
309,4,4,
310,4,2,
311,4,2,
312,4,2,
313,4,2,
314,4,2,
315,4,2,
316,4,1,
317,4,3,
318,4,1,
319,4,1,
320,4,2,
321,4,1,
322,4,1,
323,4,1,
324,4,1,
325,4,0,
326,4,1,
327,4,0,
328,4,0,
329,4,2,
330,4,2,
331,4,2,
332,4,2,
333,4,3,
334,4,3,
335,4,2,
336,4,1,
337,4,0,
338,4,0,
339,4,0,
340,4,0,
341,4,2,
342,4,3,
343,4,2,
344,4,1,
345,4,2,
346,4,1,
347,4,0,
348,4,3,
349,4,1,
350,4,0,
351,4,1,
352,4,1,
353,4,0,
354,4,1,
355,4,0,
356,4,2,
357,4,2,
358,4,1,
359,4,2,
360,4,1,
361,4,2,
362,4,3,
363,4,3,
364,4,1,
365,4,1,
366,4,2,
367,4,1,
368,4,0,
369,4,1,
370,4,3,
371,4,1,
372,4,1,
373,4,1,
374,4,1,
375,4,2,
376,4,2,
377,4,1,
378,4,2,
379,4,1,
380,4,0,
381,4,0,
382,4,1,
383,4,0,
384,4,3,
385,4,0,
386,4,0,
387,4,1,
388,4,1,
389,4,0,
390,4,0,
391,4,0,
392,4,0,
393,4,0,
394,4,0,
395,4,0,
396,4,1,
397,4,1,
398,4,1,
399,4,0,
400,4,3,
401,4,4,
402,4,2,
403,4,0,
404,4,1,
405,4,1,
406,4,0,
407,4,0,
408,4,0,
409,4,1,
410,4,0,
411,4,1,
412,4,0,
413,5,0,
414,5,2,
415,5,3,
416,5,3,
417,5,5,
418,5,3,
419,5,3,
420,5,2,
421,5,4,
422,5,3,
423,5,0,
424,5,3,
425,5,4,
426,5,1,
427,5,0,
428,5,1,
429,5,1,
430,5,0,
431,5,2,
432,5,1,
433,5,0,
434,5,2,
435,5,3,
436,5,3,
437,5,2,
438,5,2,
439,5,0,
440,5,2,
441,5,0,
442,5,1,
443,5,3,
444,5,2,
445,5,2,
446,5,2,
447,5,0,
448,5,1,
449,5,1,
450,5,3,
451,5,2,
452,5,3,
453,5,3,
454,5,4,
455,5,1,
456,5,2,
457,5,3,
458,5,2,
459,5,1,
460,5,4,
461,5,3,
462,5,1,
463,5,2,
464,5,1,
465,5,2,
466,5,3,
467,5,3,
468,5,2,
469,5,1,
470,5,3,
471,5,3,
472,5,1,
473,5,2,
474,5,2,
475,5,4,
476,5,1,
477,5,4,
478,5,2,
479,5,1,
480,5,2,
481,5,1,
482,5,1,
483,5,0,
484,5,0,
485,5,2,
486,5,4,
487,5,2,
488,5,2,
489,5,1,
490,5,3,
491,5,2,
492,5,2,
493,5,3,
494,5,2,
495,5,2,
496,5,2,
497,5,4,
498,5,0,
499,5,0,
500,5,3,
501,5,2,
502,5,2,
503,5,0,
504,5,1,
505,5,3,
506,5,4,
507,5,3,
508,5,2,
509,5,2,
510,5,3,
511,5,2,
512,5,0,
513,5,2,
514,5,0,
515,5,1,
516,5,0,
517,5,2,
